	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
Date	10,260	20,086	2,304	16,100	24,073
price	10,260	107	107	5.02	683
fund_ret	10,251	0.15	2.89	-27.4	28.2
VIX	10,260	18.8	8.52	9.14	79.1
spx_ret	10,251	-0.16	2.42	-11.4	20.1
vix_spx	10,251	-3.63	85.4	-825	938
term_spread	10,260	130	129	-176	379
credit_spread	10,260	101	42.3	54	347
SPX	10,260	2,462	1,469	683	6,849
US10YR	10,260	3.01	1.14	0.53	5.22
US3M	10,260	1.71	1.91	-0.038	5.51
CBAA	10,260	5.44	1.11	3.11	9.49
CAAA	10,260	4.43	0.97	2.03	6.47
					
