	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	EEM	EFA	IWM	QQQ	SPY	VTV	VUG	XLF	XLK
									
VIX	-0.170**	-0.154**	-0.187**	-0.152**	-0.145**	-0.142**	-0.149**	-0.196**	-0.148**
	(0.027)	(0.029)	(0.029)	(0.023)	(0.026)	(0.025)	(0.024)	(0.030)	(0.024)
spx_ret	-0.120	-0.074	-0.059	-0.075	-0.095	-0.044	-0.102	-0.216	-0.126
	(0.130)	(0.103)	(0.115)	(0.081)	(0.091)	(0.090)	(0.083)	(0.147)	(0.084)
vix_spx	0.005	0.003	0.003	0.003	0.005	0.004	0.005	0.010	0.006
	(0.005)	(0.005)	(0.005)	(0.003)	(0.004)	(0.004)	(0.004)	(0.006)	(0.003)
term_spread	-0.000	-0.000	0.001	-0.000	-0.000	0.000	-0.000	0.001	-0.000
	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)
credit_spread	0.025**	0.021**	0.026**	0.022**	0.020**	0.018**	0.021**	0.024**	0.021**
	(0.004)	(0.004)	(0.005)	(0.003)	(0.004)	(0.004)	(0.004)	(0.007)	(0.004)
Constant	0.785	0.840*	0.999*	0.948**	0.913*	0.903*	0.954**	1.303*	0.910**
	(0.497)	(0.380)	(0.417)	(0.319)	(0.359)	(0.361)	(0.326)	(0.659)	(0.321)
									
Observations	1,138	1,138	1,138	1,138	1,138	1,138	1,138	1,138	1,138
R-squared	0.111	0.133	0.136	0.124	0.150	0.143	0.139	0.133	0.121
Robust standard errors in parentheses									
** p<0.01, * p<0.05									
